window_end_month,alpha,alpha_t,alpha_ci_low,alpha_ci_high,mkt_rf_beta,smb_beta,hml_beta,rmw_beta,cma_beta,umd_beta
2018-12,0.0008913909690935595,0.3746741238252794,-0.003771579021282263,0.005554360959469382,-0.24048393894867282,0.06334320672166974,-0.13748968637066347,0.010685123764909862,-0.9599679364978193,-0.1905971501958433
2019-01,0.000982158815453401,0.4061046524866251,-0.0037579885667551457,0.005722306197661948,-0.23504611760814048,0.061055477391105104,-0.14449928785392363,0.003580910879151175,-0.986285286319683,-0.22180848026730113
2019-02,0.00018367426304255496,0.07775897165318608,-0.004445951525425465,0.004813300051510575,-0.22915753771072214,0.022640490451769787,-0.09663131854566104,-0.09692417602932868,-1.0286492187505618,-0.2019454414005588
2019-03,0.00026043238471935837,0.11717355705353462,-0.004095824327915997,0.004616689097354714,-0.25836026469927287,0.014122793398063325,-0.133334040911474,-0.13228292951171286,-0.996596130007469,-0.1627061063343528
2019-04,0.0002887717590444052,0.12509552580359246,-0.004235628644915199,0.004813172163004009,-0.26408253274238064,0.011069367844823631,-0.20473264123840432,-0.2899397351342486,-0.8454263889216098,-0.16491653771506504
2019-05,0.00021892192905841523,0.09176692331775396,-0.004456827032196272,0.004894670890313101,-0.2649231118712531,0.016780524394645835,-0.21051474572602846,-0.2717599346451339,-0.818365234122873,-0.15967689531995977
2019-06,1.4322994960464918e-05,0.006272539323099279,-0.004461145842656835,0.004489791832577765,-0.25683966842365635,-0.02309685751755515,-0.19760744188173596,-0.3552242611283411,-0.8922658426036159,-0.20643373134331755
2019-07,0.0004425144403652308,0.1875902644152925,-0.004180925738996475,0.005065954619726937,-0.2150272043604988,-0.0938638347395986,-0.14803119273830834,-0.4397520494013528,-0.8185792424915259,-0.13098219783692422
2019-08,0.00014299318254743973,0.05428715933610277,-0.0050195810109664955,0.005305567376061375,-0.2112406284188617,-0.09016284140651641,-0.15046672305121458,-0.423561888075202,-0.811870866842136,-0.13410972217828987
2019-09,0.0013124876867994192,0.40575456299597423,-0.0050273759422996105,0.007652351315898448,-0.1955492320416059,-0.09517067383118584,-0.0765234036456293,-0.17335129350261658,-0.6787611824234381,-0.1582213550217935
2019-10,0.0008408102941106978,0.24097831072280182,-0.005997804722089451,0.007679425310310847,-0.1912110290445641,-0.08552790011677404,-0.09283768793923414,-0.17403320846005987,-0.6553726346864122,-0.15760683580042545
2019-11,0.0009524349920320046,0.2628297084758914,-0.006150028016519607,0.008054898000583616,-0.14725681118186074,0.0995955450376366,0.028785139650008243,0.17460107320831944,-0.4560620943431586,-0.0025937921162446607
2019-12,0.0027386640998815818,0.7074973450668557,-0.0048481954677871576,0.01032552366755032,-0.11904839635577869,0.13709685696612423,0.09004190260111536,0.22679004459336688,-0.3955618437565368,0.02548146088518447
